year,bracket,round,location,team_one_rank,team_one,team_two_rank,team_two
2024,East,First Round,"Brooklyn, NY",1,Connecticut,16,Stetson
2024,East,First Round,"Brooklyn, NY",8,Florida Atlantic,9,Northwestern
2024,East,First Round,"Spokane, WA",5,San Diego State,12,UAB
2024,East,First Round,"Spokane, WA",4,Auburn,13,Yale
2024,East,First Round,"Omaha, NE",6,Brigham Young,11,Duquesne
2024,East,First Round,"Omaha, NE",3,Illinois,14,Morehead State
2024,East,First Round,"Omaha, NE",7,Washington State,10,Drake
2024,East,First Round,"Omaha, NE",2,Iowa State,15,South Dakota State
2024,Midwest,First Round,"Indianapolis, IN",1,Purdue,16,Grambling
2024,Midwest,First Round,"Indianapolis, IN",8,Utah State,9,TCU
2024,Midwest,First Round,"Salt Lake City, UT",5,Gonzaga,12,McNeese State
2024,Midwest,First Round,"Salt Lake City, UT",4,Kansas,13,Samford
2024,Midwest,First Round,"Pittsburgh, PA",6,South Carolina,11,Oregon
2024,Midwest,First Round,"Pittsburgh, PA",3,Creighton,14,Akron
2024,Midwest,First Round,"Charlotte, NC",7,Texas,10,Colorado State
2024,Midwest,First Round,"Charlotte, NC",2,Tennessee,15,Saint Peter's
2024,South,First Round,"Memphis, TN",1,Houston,16,Longwood
2024,South,First Round,"Memphis, TN",8,Nebraska,9,Texas A&M
2024,South,First Round,"Brooklyn, NY",5,Wisconsin,12,James Madison
2024,South,First Round,"Brooklyn, NY",4,Duke,13,Vermont
2024,South,First Round,"Pittsburgh, PA",6,Texas Tech,11,NC State
2024,South,First Round,"Pittsburgh, PA",3,Kentucky,14,Oakland
2024,South,First Round,"Indianapolis, IN",7,Florida,10,Boise State
2024,South,First Round,"Indianapolis, IN",2,Marquette,15,Western Kentucky
2024,West,First Round,"Charlotte, NC",1,North Carolina,16,Wagner
2024,West,First Round,"Charlotte, NC",8,Mississippi State,9,Michigan State
2024,West,First Round,"Spokane, WA",5,Saint Mary's (CA),12,Grand Canyon
2024,West,First Round,"Spokane, WA",4,Alabama,13,College of Charleston
2024,West,First Round,"Memphis, TN",6,Clemson,11,New Mexico
2024,West,First Round,"Memphis, TN",3,Baylor,14,Colgate
2024,West,First Round,"Salt Lake City, UT",7,Dayton,10,Nevada
2024,West,First Round,"Salt Lake City, UT",2,Arizona,15,Long Beach State
